product_id,reg_date,created_by,category,name,product_status,image01,image02,image03,stock,price,description
1,1990-12-22,ADMIN,BEVERAGE,레드 와인 01,SELL,/images/image/redwine01.png,,,100,6000,레드 와인은 붉은 포도에서 만들어지며 화이트 와인은 흰 포도에서 만들어집니다. 각각의 와인은 다양한 향과 맛을 가지고 있으며 음식과의 궁합을 즐길 수 있습니다.
2,1980-07-26,ADMIN,BEVERAGE,레드 와인 02,SELL,/images/image/redwine02.png,,,100,5000,레드 와인은 붉은 포도에서 만들어지며 화이트 와인은 흰 포도에서 만들어집니다. 각각의 와인은 다양한 향과 맛을 가지고 있으며 음식과의 궁합을 즐길 수 있습니다.
3,1990-12-22,ADMIN,MACARON,마카롱 01,SELL,/images/image/macaron01.png,,,100,5000,마카롱은 부드럽고 쫀득한 식감의 머랭으로 만든 쿠키로 색상과 맛이 다양하게 제공되며 중간에 크림이나 젤리 등을 채워 먹습니다. 프랑스에서 온 디저트로 유명합니다.
4,1995-05-04,ADMIN,BEVERAGE,바닐라 라떼 01,SELL,/images/image/vanilla_latte_01.png,/images/image/vanilla_latte_02.png,,100,3000,바닐라라떼는 에스프레소에 스팀밀크와 바닐라 시럽을 추가한 커피 음료로 달콤하고 부드러운 맛이 특징입니다.
5,2023-08-15,ADMIN,BEVERAGE,바닐라 라떼 02,SELL,/images/image/vanilla_latte_02.png,,,100,6000,바닐라라떼는 에스프레소에 스팀밀크와 바닐라 시럽을 추가한 커피 음료로 달콤하고 부드러운 맛이 특징입니다.
6,2023-08-15,ADMIN,BREAD,치아바타07,SOLD_OUT,/images/image/ciabatta_07.png,,,100,3000,치아바타는 이탈리아에서 유래한 빵으로 폭이 넓고 길게 늘어진 모양과 부드러운 내면이 특징입니다. 외부는 바삭하고 내면은 쫀득하게 구워집니다.
7,1980-07-26,ADMIN,BEVERAGE,카푸치노01,SOLD_OUT,/images/image/cappuccino01.png,,,100,6000,카푸치노는 에스프레소 스팀밀크 그리고 마끼아토(폼으로 된 우유)의 조합으로 만들어진 이탈리아의 전통 음료입니다. 에스프레소와 부드러운 우유 거품이 적절하게 섞여 부드럽고 부드러운 맛을 제공합니다.
8,1980-07-17,ADMIN,BEVERAGE,바닐라 라떼 03,SELL,/images/image/vanilla_latte_03.png,,,100,5000,바닐라라떼는 에스프레소에 스팀밀크와 바닐라 시럽을 추가한 커피 음료로 달콤하고 부드러운 맛이 특징입니다.
9,1995-05-04,ADMIN,BREAD,브리오슈01,SELL,/images/image/brioche_01.png,/images/image/brioche_02.png,/images/image/brioche_05.png,100,3000,브리오슈는 프랑스에서 유래한 부드럽고 달콤한 빵으로 풍부한 양의 버터와 계란이 사용되어 부드러운 식감과 풍미를 제공합니다.
10,2023-08-15,ADMIN,BREAD,크로와상05,SOLD_OUT,/images/image/croissant_05.png,,,100,4000,프랑스의 전통적인 빵으로 반죽에 여러 번 버터를 넣어 만든 빵입니다. 층층이 된 구조로 바삭하면서 부드러운 맛을 가지고 있습니다.
